# TradeHub Core Turkish Translations
# Format: source,translated,context (optional)

# Common Labels
Unread,Okunmadi,
Mark as Read,Okundu Olarak Isaretle,

# Audit & Logging
Audit Log,Denetim Kaydi,
Activity Log,Aktivite Kaydi,
Event,Olay,
Event Type,Olay Tipi,
Timestamp,Zaman Damgasi,
IP Address,IP Adresi,
User Agent,Tarayici Bilgisi,

# Configuration
System Settings,Sistem Ayarlari,
General Settings,Genel Ayarlar,
Default Currency,Varsayilan Para Birimi,
Default Language,Varsayilan Dil,
Default Country,Varsayilan Ulke,
Time Zone,Saat Dilimi,
Date Format,Tarih Formati,
Number Format,Sayi Formati,

# Status Values
Active,Aktif,
Inactive,Pasif,
Draft,Taslak,
Enabled,Etkin,
Disabled,Devre Disi,
Suspended,Askiya Alindi,
Archived,Arsivlendi,
Pending,Beklemede,
Approved,Onaylandi,
Rejected,Reddedildi,
Verified,Dogrulandi,
Under Review,Incelemede,
Verification Rejected,Dogrulama Reddedildi,

# Common Messages
Required,Zorunlu,
Invalid,Gecersiz,
Success,Basarili,
Error,Hata,
Warning,Uyari,
Info,Bilgi,
Loading,Yukleniyor,
Please wait,Lutfen bekleyin,
No data found,Veri bulunamadi,
Are you sure?,Emin misiniz?,
Yes,Evet,
No,Hayir,

# Validation Messages
This field is required,Bu alan zorunludur,
Invalid email address,Gecersiz e-posta adresi,
Invalid phone number,Gecersiz telefon numarasi,
Value must be greater than zero,Deger sifirdan buyuk olmalidir,
Duplicate entry found,Tekrarlanan kayit bulundu,

# API & Webhooks
API Key,API Anahtari,
API Secret,API Sifresi,
Webhook,Webhook,
Webhook URL,Webhook URL,
Webhook Secret,Webhook Sifresi,
Endpoint,Son Nokta,
Request,Istek,
Response,Yanit,

# UI Labels - Display
Buyer Categories,Alici Kategorileri,
Buyers,Alicilar,
Category Name,Kategori Adi,
"Category: {0}","Kategori: {0}",
Code,Kod,
Confidence,Guven Skoru,
Custom Payment Terms,Ozel Odeme Kosullari,
Dedicated Account Manager,Ozel Hesap Yoneticisi,
Default,Varsayilan,
Early Access to Products,Urunlere Erken Erisim,
Extended Payment Terms,Uzatilmis Odeme Kosullari,
High confidence (90%+),Yuksek guven (%90+),
Low confidence (<70%),Dusuk guven (<%70),
Matched To,Eslestirilen,
Medium confidence (70-89%),Orta guven (%70-89),
No match,Eslesme yok,
Payment On-Time,Zamaninda Odeme,
Priority Customer Support,Oncelikli Musteri Destegi,
Priority Support,Oncelikli Destek,
Source Column,Kaynak Sutun,
Strategy,Strateji,
Target DocType,Hedef DocType,
Total Purchases,Toplam Alisveris,
Unnamed Address,Isimsiz Adres,
Unnamed Location,Isimsiz Konum,
Segment,Segment,
Verification,Dogrulama,
Documents,Belgeler,

# UI Labels - Form Fields
Blocking Reason,Engelleme Nedeni,
New Segment,Yeni Segment,
Optional notes about the verification,Dogrulama hakkinda istege bagli notlar,
Please provide a reason for blocking,Lutfen engelleme icin bir neden belirtin,
Please provide a reason for rejection,Lutfen red icin bir neden belirtin,
Please provide a reason for suspension,Lutfen askiya alma icin bir neden belirtin,
Rejection Reason,Red Nedeni,
Suspension Reason,Askiya Alma Nedeni,
Verification Notes,Dogrulama Notlari,

# Buyer Level / Eligibility
Already at highest level,Zaten en yuksek seviyede,
"Buyer does not yet qualify for {0}","Alici henuz {0} icin uygun degil",
"Buyer qualifies for upgrade to {0}","Alici {0} seviyesine yukseltme icin uygun",
No buyer profile provided,Alici profili belirtilmedi,
No current level found,Mevcut seviye bulunamadi,

# Confirmation Prompts
Activate this buyer account?,Bu alici hesabi etkinlestirilsin mi?,
"Buyer is eligible for segment upgrade from {0} to {1}. Upgrade now?","Alici {0} segmentinden {1} segmentine yukseltme icin uygun. Simdi yukseltilsin mi?",
"Changing tenant status to {0} will affect all associated sellers. Continue?","Kiralayan durumunu {0} olarak degistirmek tum iliskili saticilari etkileyecektir. Devam edilsin mi?",
Submit this buyer profile for verification? Make sure all required documents are uploaded.,Bu alici profili dogrulama icin gonderilsin mi? Tum gerekli belgelerin yuklendiginden emin olun.,
"Tier changed to {0}. Default limits: {1} sellers, {2} listings/seller","Kademe {0} olarak degistirildi. Varsayilan limitler: {1} satici, satici basina {2} ilan",
"This organization has {0} linked seller profile(s). Changing the tenant is not allowed.","Bu organizasyonun {0} bagli satici profili var. Kiralayan degisikligine izin verilmiyor.",
"Warning: This organization has {0} linked seller profile(s). Tenant change will be blocked on save.","Uyari: Bu organizasyonun {0} bagli satici profili var. Kaydetme sirasinda kiralayan degisikligi engellenecektir.",

# Progress / Freeze Messages
Analyzing columns...,Sutunlar analiz ediliyor...,
Applying mapping template...,Eslestirme sablonu uygulaniyro...,

# Validation - Field/Input Errors
"Action Target is required for action type '{0}'","Islem hedefi '{0}' islem tipi icin gereklidir",
"Action Value is required for action type '{0}'","Islem degeri '{0}' islem tipi icin gereklidir",
At least one buyer KPI metric is required,En az bir alici KPI metrigi gereklidir,
"At least one value is required for operator '{0}'","'{0}' operatoru icin en az bir deger gereklidir",
Benefit code should contain only letters numbers and underscores,Fayda kodu yalnizca harf sayi ve alt cizgi icermelidir,
Body (JSON payload template) is required for Webhook,Webhook icin govde (JSON yuklemesi sablonu) gereklidir,
Body content is required for Email notifications,E-posta bildirimleri icin govde icerigi gereklidir,
"Boolean value should be true/false, yes/no, or 1/0","Boolean deger true/false, yes/no veya 1/0 olmalidir",
Buyer is required,Alici gereklidir,
Buyer name is required,Alici adi gereklidir,
"Category Code must start with a letter and contain only letters, numbers, and underscores","Kategori Kodu bir harfle baslamali ve yalnizca harf, sayi ve alt cizgi icermelidir",
"Category Code '{0}' already exists","Kategori Kodu '{0}' zaten mevcut",
Category Name is required,Kategori Adi gereklidir,
Category Name must be at least 2 characters long,Kategori Adi en az 2 karakter olmalidir,
Category Name must not exceed 140 characters,Kategori Adi 140 karakteri gecmemelidir,
City code must be a 2-digit number (01-81),Sehir kodu 2 haneli bir sayi olmalidir (01-81),
City code must be between 01 and 81,Sehir kodu 01 ile 81 arasinda olmalidir,
City name must be at least 2 characters,Sehir adi en az 2 karakter olmalidir,
Client ID cannot exceed 255 characters,Istemci Kimlik 255 karakteri gecemez,
Client ID must be at least 3 characters,Istemci Kimlik en az 3 karakter olmalidir,
Configuration must be valid JSON,Yapilandirma gecerli JSON olmalidir,
Credit Score must be between 0 and 1000,Kredi Puani 0 ile 1000 arasinda olmalidir,
"Criterion code should contain only letters, numbers, and underscores","Kriter kodu yalnizca harf, sayi ve alt cizgi icermelidir",
Custom field mappings must be a JSON object,Ozel alan eslestirmeleri bir JSON nesnesi olmalidir,
Custom Method is required for Custom Method action,Ozel Yontem islemi icin Ozel Yontem gereklidir,
Delay cannot exceed 7 days (10080 minutes),Gecikme 7 gunu (10080 dakika) asamaz,
Delay minutes cannot be negative,Gecikme dakikasi negatif olamaz,
Discount percentage must be between 0 and 100,Indirim yuzdesi 0 ile 100 arasinda olmalidir,
District name must be at least 2 characters,Ilce adi en az 2 karakter olmalidir,
"E-Invoice Alias must start with 'PK:' or 'GB:'","E-Fatura Etiketi 'PK:' veya 'GB:' ile baslamalidir",
Email Template or Recipients required for Send Email action,E-posta Gonder islemi icin E-posta Sablonu veya Alicilar gereklidir,
ERPNext site URL must start with http:// or https://,ERPNext site URL'si http:// veya https:// ile baslamalidir,
Extended Credit Days cannot be negative,Uzatilmis Kredi Gunleri negatif olamaz,
"Filter field '{0}' does not exist on DocType '{1}'","Filtre alani '{0}' DocType '{1}' uzerinde mevcut degil",
"Founded year must be between 1800 and {0}","Kurulus yili 1800 ile {0} arasinda olmalidir",
"Grade must be one of: {0}","Not sulardan biri olmalidir: {0}",
Group Name is required,Grup Adi gereklidir,
ID front image is required,Kimlik on yuz gorseli gereklidir,
Import file is required,Icerik aktarma dosyasi gereklidir,
Industry Tags are required for Industry qualification type,Sanayi etiketi Sanayi yeterlilik tipi icin gereklidir,
Invalid buyer,Gecersiz alici,
Invalid check type,Gecersiz kontrol tipi,
Invalid column mapping JSON,Gecersiz sutun eslestirme JSON,
Invalid cron expression. Must have 5 or 6 fields.,Gecersiz cron ifadesi. 5 veya 6 alan olmalidir.,
"Invalid days value: {0}","Gecersiz gun degeri: {0}",
"Invalid field defaults JSON","Gecersiz alan varsayilanlari JSON",
"Invalid fixed amount value: {0}","Gecersiz sabit tutar degeri: {0}",
"Invalid grade. Must be one of: {0}","Gecersiz not. Sulardan biri olmalidir: {0}",
"Invalid import type: {0}","Gecersiz icerik aktarma tipi: {0}",
"Invalid JSON format. Expected array or object with 'data' key.","Gecersiz JSON formati. Dizi veya 'data' anahtarli nesne bekleniyor.",
"Invalid JSON in custom field mappings: {0}","Ozel alan eslestirmelerinde gecersiz JSON: {0}",
"Invalid Member Type '{0}'. Must be one of: {1}","Gecersiz Uye Tipi '{0}'. Sulardan biri olmalidir: {1}",
"Invalid multiplier value: {0}","Gecersiz carpan degeri: {0}",
Invalid notification email format,Gecersiz bildirim e-posta formati,
Invalid order reference,Gecersiz siparis referansi,
Invalid passport number format,Gecersiz pasaport numarasi formati,
"Invalid percentage value: {0}","Gecersiz yuzde degeri: {0}",
Invalid seller,Gecersiz satici,
"Invalid status transition from {0} to {1}","{0} durumundan {1} durumuna gecis gecersiz",
Invalid TCKN checksum,Gecersiz TCKN kontrol toplami,
Invalid TCKN. Checksum validation failed.,Gecersiz TCKN. Kontrol toplami dogrulamasi basarisiz.,
Invalid Tax ID (VKN). Checksum validation failed.,Gecersiz Vergi No (VKN). Kontrol toplami dogrulamasi basarisiz.,
"Invalid toggle name: {0}","Gecersiz anahtar adi: {0}",
Invalid webhook signature,Gecersiz webhook imzasi,
Jinja Condition has unbalanced braces,Jinja Kosulu dengesiz paranteze sahip,
KVKK consent is required,KVKK onayi gereklidir,
KVKK consent is required to submit KYC application. Please accept the privacy policy.,KYC basvurusu gondermek icin KVKK onayi gereklidir. Lutfen gizlilik politikasini kabul edin.,
"Latitude must be between -90 and 90 degrees. Got {0}","Enlem -90 ile 90 derece arasinda olmalidir. Alinan: {0}",
"Level code should contain only letters, numbers, and underscores","Seviye kodu yalnizca harf, sayi ve alt cizgi icermelidir",
Level rank must be a non-negative integer,Seviye sirasi negatif olmayan bir tamsayi olmalidir,
"Longitude must be between -180 and 180 degrees. Got {0}","Boylam -180 ile 180 derece arasinda olmalidir. Alinan: {0}",
Max Daily Executions cannot be negative,Gunluk Maksimum Calistirma negatif olamaz,
Max Executions/Minute cannot be negative,Dakika Basina Maksimum Calistirma negatif olamaz,
Max Listings per Seller cannot be negative,Satici Basina Maksimum Ilan negatif olamaz,
Max retry attempts cannot exceed 10,Maksimum yeniden deneme sayisi 10'u asamaz,
Max retry attempts must be at least 1,Maksimum yeniden deneme sayisi en az 1 olmalidir,
Max score cannot be negative,Maksimum puan negatif olamaz,
Max Sellers cannot be negative,Maksimum Satici Sayisi negatif olamaz,
Maximum Amount must be greater than zero,Maksimum Tutar sifirdan buyuk olmalidir,
MERSIS Number must be exactly 16 digits,MERSIS Numarasi tam olarak 16 hane olmalidir,
MERSIS Number must contain only digits,MERSIS Numarasi yalnizca rakam icermelidir,
"Metric '{0}' has weight of 0 and will not contribute to the overall score","Metrik '{0}' agirlik degeri 0'dir ve genel puana katki saglamayacaktir",
Metric code is required,Metrik kodu gereklidir,
"Metric code should contain only letters, numbers, and underscores","Metrik kodu yalnizca harf, sayi ve alt cizgi icermelidir",
Metric codes must be unique within a template,Metrik kodlari bir sablon icinde benzersiz olmalidir,
Minimum Amount cannot be negative,Minimum Tutar negatif olamaz,
Minimum Amount must be less than Maximum Amount,Minimum Tutar Maksimum Tutardan kucuk olmalidir,
Minimum Order Amount must be greater than 0 for Purchase Amount qualification type,Satin Alma Tutari yeterlilik tipi icin Minimum Siparis Tutari 0'dan buyuk olmalidir,
Minimum Order Count must be greater than 0 for Order Count qualification type,Siparis Sayisi yeterlilik tipi icin Minimum Siparis Sayisi 0'dan buyuk olmalidir,
Minimum order amount cannot be negative,Minimum siparis tutari negatif olamaz,
Minimum order count cannot be negative,Minimum siparis sayisi negatif olamaz,
Multiplier should be greater than 0,Carpan 0'dan buyuk olmalidir,
Neighborhood name must be at least 2 characters,Mahalle adi en az 2 karakter olmalidir,
"Normalized score for '{0}' must be between 0 and 100","'{0}' icin normallestirmis puan 0 ile 100 arasinda olmalidir",
Order reference is required,Siparis referansi gereklidir,
Overall rating is required,Genel puan gereklidir,
"Overall rating must be between 1 and 5, got {0}","Genel puan 1 ile 5 arasinda olmalidir, alinan: {0}",
Passing score must be between 0 and 100,Gecme puani 0 ile 100 arasinda olmalidir,
Percentage value should be between 0 and 100,Yuzde degeri 0 ile 100 arasinda olmalidir,
"Phone code must be a 3-digit number (e.g., 212, 312)","Telefon kodu 3 haneli bir sayi olmalidir (ornegin 212, 312)",
Phone code must be between 200 and 999,Telefon kodu 200 ile 999 arasinda olmalidir,
Phone code must contain only digits,Telefon kodu yalnizca rakam icermelidir,
Plain text body is required for Push notifications,Anlik bildirimler icin duz metin govde gereklidir,
Plain text body is required for SMS notifications,SMS bildirimleri icin duz metin govde gereklidir,
Recipients or Message required for System Notification action,Sistem Bildirimi islemi icin Alicilar veya Mesaj gereklidir,
Redirect URI must start with http:// or https://,Yonlendirme URI'si http:// veya https:// ile baslamalidir,
"Region Code can only contain letters, numbers, and underscores","Bolge Kodu yalnizca harf, sayi ve alt cizgi icermelidir",
"Rule Code must start with a letter and contain only lowercase letters, numbers, and underscores","Kural Kodu bir harfle baslamali ve yalnizca kucuk harf, sayi ve alt cizgi icermelidir",
Rule Group Idx must be a positive integer (references idx of a Rule Group row),Kural Grubu Idx pozitif bir tamsayi olmalidir (Kural Grubu satirinin idx'ine referans verir),
Seller is required,Satici gereklidir,
Seller name is required,Satici adi gereklidir,
SMS Sender ID cannot exceed 11 characters,SMS Gonderici Kimligi 11 karakteri gecemez,
Sort Order cannot be negative,Siralama negatif olamaz,
Source Column is required,Kaynak Sutun gereklidir,
Subject is required for Email notifications,E-posta bildirimleri icin konu gereklidir,
Subject or body is required for In-App notifications,Uygulama Ici bildirimler icin konu veya govde gereklidir,
Subject/Title is required for Push notifications,Anlik bildirimler icin Konu/Baslik gereklidir,
Target DocType is required,Hedef DocType gereklidir,
"Target DocType is required for {0} action","Hedef DocType {0} islemi icin gereklidir",
Target Field is required for Set Field action,Alan Ayarla islemi icin Hedef Alan gereklidir,
Target Fieldname is required,Hedef Alan Adi gereklidir,
"Template Code is required","Sablon Kodu gereklidir",
"Template Code must start with a letter and contain only uppercase letters, numbers, and underscores","Sablon Kodu bir harfle baslamali ve yalnizca buyuk harf, sayi ve alt cizgi icermelidir",
"Template code should contain only letters, numbers, and underscores","Sablon kodu yalnizca harf, sayi ve alt cizgi icermelidir",
Template name is required,Sablon adi gereklidir,

# Validation - Business Logic
"A Premium Buyer profile already exists for {0}: {1}","{0} icin zaten bir Premium Alici profili mevcut: {1}",
Access token lifespan cannot exceed 86400 seconds (24 hours),Erisim jetonu suresi 86400 saniyeyi (24 saat) asamaz,
Access token lifespan must be at least 60 seconds,Erisim jetonu suresi en az 60 saniye olmalidir,
All redirect URIs must start with http:// or https://,Tum yonlendirme URI'leri http:// veya https:// ile baslamalidir,
Anonymous customer ID is required,Anonim musteri kimligi gereklidir,
Buyer account is not active,Alici hesabi aktif degil,
City already has a primary phone code. Please unmark the existing primary first.,Sehrin zaten birincil telefon kodu var. Lutfen once mevcut birincil isaretini kaldirin.,
Connection timeout cannot exceed 120 seconds,Baglanti zaman asimi 120 saniyeyi asamaz,
Connection timeout must be at least 5 seconds,Baglanti zaman asimi en az 5 saniye olmalidir,
Cooldown cannot be negative,Bekleme suresi negatif olamaz,
Days cannot be negative,Gun degeri negatif olamaz,
"Default category already exists: {0}. Please unset it first.","Varsayilan kategori zaten mevcut: {0}. Lutfen once kaldirin.",
Delegator and Delegatee cannot be the same user,Yetki veren ve yetki alan ayni kullanici olamaz,
"Delegation duration cannot exceed {0} days. Current duration: {1} days","Yetki devri suresi {0} gunu asamaz. Mevcut sure: {1} gun",
"District '{0}' already exists in this city","'{0}' ilcesi bu sehirde zaten mevcut",
Downgrade grace period cannot be negative,Dusurme ek suresi negatif olamaz,
"Duplicate category '{0}' found in interest categories. Each category can only be selected once.","Ilgi alani kategorilerinde tekrarlanan '{0}' kategorisi bulundu. Her kategori yalnizca bir kez secilebilir.",
Duplicate metric codes found in metric scores,Metrik puanlarinda tekrarlanan metrik kodlari bulundu,
"ERPNext Integration Settings already exist for tenant {0}","Kiralayan {0} icin ERPNext Entegrasyon Ayarlari zaten mevcut",
"ERPNext Integration Settings already exists for tenant {0}","Kiralayan {0} icin ERPNext Entegrasyon Ayarlari zaten mevcut",
Evaluation period must be at least 1 month,Degerlendirme suresi en az 1 ay olmalidir,
"Event DocType '{0}' does not exist","Olay DocType '{0}' mevcut degil",
"File exceeds maximum {0} rows","Dosya maksimum {0} satiri asiyor",
"File size exceeds maximum limit of {0} MB","Dosya boyutu maksimum {0} MB sinirini asiyor",
Fixed amount cannot be negative,Sabit tutar negatif olamaz,
"For criterion {0}, Threshold Good should be greater than or equal to Threshold Poor","Kriter {0} icin Iyi Esik Degeri Kotu Esik Degerinden buyuk veya esit olmalidir",
"For inverted criterion {0}, Threshold Good should be less than or equal to Threshold Poor","Ters kriter {0} icin Iyi Esik Degeri Kotu Esik Degerinden kucuk veya esit olmalidir",
"Global templates cannot be assigned to a specific tenant or seller.","Global sablonlar belirli bir kiralayan veya saticiya atanamaz.",
"Keycloak Settings already exists for tenant {0}","Kiralayan {0} icin Keycloak Ayarlari zaten mevcut",
"Keycloak settings already exist for tenant {0}","Kiralayan {0} icin Keycloak ayarlari zaten mevcut",
"Level '{0}' is already set as default. Only one level can be default.","Seviye '{0}' zaten varsayilan olarak ayarlanmis. Yalnizca bir seviye varsayilan olabilir.",
"Neighborhood '{0}' already exists in this district","'{0}' mahallesi bu ilcede zaten mevcut",
Next level cannot be the same as current level,Sonraki seviye mevcut seviye ile ayni olamaz,
"Phone code '{0}' already exists for this city","Telefon kodu '{0}' bu sehir icin zaten mevcut",
"Phone code '{0}' with description '{1}' already exists for this city","Aciklamali telefon kodu '{0}' ('{1}') bu sehir icin zaten mevcut",
Post logout redirect URI must start with http:// or https://,Oturum kapatma sonrasi yonlendirme URI'si http:// veya https:// ile baslamalidir,
"Python Condition has syntax error: {0}","Python Kosulunda sozdizimi hatasi var: {0}",
Refresh token lifespan cannot exceed 604800 seconds (7 days),Yenileme jetonu suresi 604800 saniyeyi (7 gun) asamaz,
Refresh token lifespan must be at least 300 seconds (5 minutes),Yenileme jetonu suresi en az 300 saniye (5 dakika) olmalidir,
"Row {0}: Street Address is required for all addresses","Satir {0}: Tum adresler icin Sokak Adresi gereklidir",
"Spending range {0}-{1} overlaps with existing rule {2} ({3}-{4})","Harcama araligi {0}-{1} mevcut kural {2} ({3}-{4}) ile cakisiyor",
Start Date must be before End Date,Baslangic Tarihi Bitis Tarihinden once olmalidir,
Subscription End Date cannot be before Start Date,Abonelik Bitis Tarihi Baslangic Tarihinden once olamaz,
Subscription end date cannot be before start date,Abonelik bitis tarihi baslangic tarihinden once olamaz,
"Sum of criterion weights must equal 100. Current sum: {0}","Kriter agirliklarinin toplami 100'e esit olmalidir. Mevcut toplam: {0}",
Tax ID (VKN) must be exactly 10 digits for companies,Vergi Kimlik No (VKN) sirketler icin tam olarak 10 hane olmalidir,
Tax ID (VKN) must contain only digits,Vergi Kimlik No (VKN) yalnizca rakam icermelidir,
Tax ID must be 10 digits (VKN) or 11 digits (TCKN),Vergi No 10 hane (VKN) veya 11 hane (TCKN) olmalidir,
Tax ID must contain only digits,Vergi No yalnizca rakam icermelidir,
"Template '{0}' is already set as default. Only one Buyer KPI Template can be default.","Sablon '{0}' zaten varsayilan olarak ayarlanmis. Yalnizca bir Alici KPI Sablonu varsayilan olabilir.",
"Template Code {0} already exists","Sablon Kodu {0} zaten mevcut",
"Template Code {0} already exists for {1}","Sablon Kodu {0} {1} icin zaten mevcut",
Threshold value cannot be negative,Esik degeri negatif olamaz,
"Total weight of active metrics must equal 100. Current total: {0}","Aktif metriklerin toplam agirlik degeri 100'e esit olmalidir. Mevcut toplam: {0}",
Weight cannot be negative,Agirlik negatif olamaz,

# Validation - KYC/Identity
ID document has expired. Please provide a valid document.,Kimlik belgesinin suresi dolmus. Lutfen gecerli bir belge saglayin.,
Please verify the date of birth,Lutfen dogum tarihini dogrulayin,
TCKN cannot start with 0,TCKN 0 ile baslayamaz,
TCKN is required,TCKN gereklidir,
TCKN is valid,TCKN gecerlidir,
TCKN must be exactly 11 digits,TCKN tam olarak 11 hane olmalidir,
TCKN must contain only digits,TCKN yalnizca rakam icermelidir,
Trade Registry Number seems too short,Ticaret Sicil Numarasi cok kisa gorunuyor,
User must be at least 18 years old to complete KYC,KYC islemini tamamlamak icin kullanici en az 18 yasinda olmalidir,
"User {0} already has a buyer profile: {1}","Kullanici {0} zaten bir alici profiline sahip: {1}",
"User {0} already has an active KYC profile: {1}","Kullanici {0} zaten aktif bir KYC profiline sahip: {1}",
"User {0} is added multiple times","Kullanici {0} birden fazla kez eklenmis",
"User {0} is already a member of this organization","Kullanici {0} zaten bu organizasyonun bir uyesi",
"User {0} is not a member of this organization","Kullanici {0} bu organizasyonun bir uyesi degil",
"Year Established must be between 1800 and {0}","Kurulus Yili 1800 ile {0} arasinda olmalidir",

# Permissions - Access Denied
Not permitted,Izin verilmiyor,
Not permitted to access KYC profile,KYC profiline erisim izni yok,
Not permitted to create ERPNext Integration Settings,ERPNext Entegrasyon Ayarlari olusturma izni yok,
Not permitted to create Keycloak settings,Keycloak ayarlari olusturma izni yok,
Not permitted to manage organization members,Organizasyon uyelerini yonetme izni yok,
Not permitted to reject KYC profiles,KYC profillerini reddetme izni yok,
Not permitted to reject organizations,Organizasyonlari reddetme izni yok,
Not permitted to reset sync statistics,Senkronizasyon istatistiklerini sifirlama izni yok,
Not permitted to run risk assessment,Risk degerlendirmesi calistirma izni yok,
Not permitted to submit this KYC profile,Bu KYC profilini gonderme izni yok,
Not permitted to test ERPNext connection,ERPNext baglantisini test etme izni yok,
Not permitted to test Keycloak connection,Keycloak baglantisini test etme izni yok,
Not permitted to trigger synchronization,Senkronizasyonu baslatma izni yok,
Not permitted to update ERPNext Integration Settings,ERPNext Entegrasyon Ayarlarini guncelleme izni yok,
Not permitted to verify KYC profiles,KYC profillerini dogrulama izni yok,
Not permitted to verify organizations,Organizasyonlari dogrulama izni yok,
Not permitted to view ERPNext Integration Settings,ERPNext Entegrasyon Ayarlarini goruntuleme izni yok,
Not permitted to view KYC statistics,KYC istatistiklerini goruntuleme izni yok,
Not permitted to view Keycloak settings,Keycloak ayarlarini goruntuleme izni yok,
Not permitted to view organization details,Organizasyon detaylarini goruntuleme izni yok,
Not permitted to view pending reviews,Bekleyen incelemeleri goruntuleme izni yok,
Not permitted to view tenant statistics,Kiralayan istatistiklerini goruntuleme izni yok,
Only platform administrators can switch tenants,Yalnizca platform yoneticileri kiralayan degistirebilir,
Only System Managers can perform bulk sync,Yalnizca Sistem Yoneticileri toplu senkronizasyon yapabilir,
"Role '{0}' cannot be delegated","Rol '{0}' devredilemez",
You do not have permission to create webhooks,Webhook olusturma izniniz yok,
"You do not have permission to modify documents from tenant {0}","Kiralayan {0} belgelerini degistirme izniniz yok",
You do not have permission to view the admin KPI dashboard,Yonetici KPI kontrol panelini goruntuleme izniniz yok,
"You do not have permission to view this buyer's KPI data","Bu alicinin KPI verilerini goruntuleme izniniz yok",
You do not have permission to view this data,Bu verileri goruntuleme izniniz yok,

# Errors - Not Found
Buyer not found,Alici bulunamadi,
"Buyer Category '{0}' not found","Alici Kategorisi '{0}' bulunamadi",
"Buyer Profile {0} not found","Alici Profili {0} bulunamadi",
Customer DocType not found. Please ensure ERPNext is properly configured.,Customer DocType bulunamadi. Lutfen ERPNext'in dogru yapilandirildiginden emin olun.,
"ERPNext Integration Settings not found for tenant {0}","Kiralayan {0} icin ERPNext Entegrasyon Ayarlari bulunamadi",
